pokemon_number,pokemon_name,attack,classfication,defense,height_m,hp,speed,type1,type2,weight_kg,generation,is_legendary,abilities
1,Bulbasaur,49,Seed Pokémon,49,0.7,45,45,grass,poison,6.9,1,0,"['Overgrow', 'Chlorophyll']"
2,Ivysaur,62,Seed Pokémon,63,1.0,60,60,grass,poison,13.0,1,0,"['Overgrow', 'Chlorophyll']"
3,Venusaur,100,Seed Pokémon,123,2.0,80,80,grass,poison,100.0,1,0,"['Overgrow', 'Chlorophyll']"
4,Charmander,52,Lizard Pokémon,43,0.6,39,65,fire,,8.5,1,0,"['Blaze', 'Solar Power']"
5,Charmeleon,64,Flame Pokémon,58,1.1,58,80,fire,,19.0,1,0,"['Blaze', 'Solar Power']"
6,Charizard,104,Flame Pokémon,78,1.7,78,100,fire,flying,90.5,1,0,"['Blaze', 'Solar Power']"
7,Squirtle,48,Tiny Turtle Pokémon,65,0.5,44,43,water,,9.0,1,0,"['Torrent', 'Rain Dish']"
8,Wartortle,63,Turtle Pokémon,80,1.0,59,58,water,,22.5,1,0,"['Torrent', 'Rain Dish']"
9,Blastoise,103,Shellfish Pokémon,120,1.6,79,78,water,,85.5,1,0,"['Torrent', 'Rain Dish']"
10,Caterpie,30,Worm Pokémon,35,0.3,45,45,bug,,2.9,1,0,"['Shield Dust', 'Run Away']"
11,Metapod,20,Cocoon Pokémon,55,0.7,50,30,bug,,9.9,1,0,['Shed Skin']
12,Butterfree,45,Butterfly Pokémon,50,1.1,60,70,bug,flying,32.0,1,0,"['Compoundeyes', 'Tinted Lens']"
13,Weedle,35,Hairy Pokémon,30,0.3,40,50,bug,poison,3.2,1,0,"['Shield Dust', 'Run Away']"
14,Kakuna,25,Cocoon Pokémon,50,0.6,45,35,bug,poison,10.0,1,0,['Shed Skin']
15,Beedrill,150,Poison Bee Pokémon,40,1.0,65,145,bug,poison,29.5,1,0,"['Swarm', 'Sniper']"
16,Pidgey,45,Tiny Bird Pokémon,40,0.3,40,56,normal,flying,1.8,1,0,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
17,Pidgeotto,60,Bird Pokémon,55,1.1,63,71,normal,flying,30.0,1,0,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
18,Pidgeot,80,Bird Pokémon,80,1.5,83,121,normal,flying,39.5,1,0,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
19,Rattata,56,Mouse Pokémon,35,,30,72,normal,dark,,1,0,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']"
20,Raticate,71,Mouse Pokémon,70,,75,77,normal,dark,,1,0,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']"
21,Spearow,60,Tiny Bird Pokémon,30,0.3,40,70,normal,flying,2.0,1,0,"['Keen Eye', 'Sniper']"
22,Fearow,90,Beak Pokémon,65,1.2,65,100,normal,flying,38.0,1,0,"['Keen Eye', 'Sniper']"
23,Ekans,60,Snake Pokémon,44,2.0,35,55,poison,,6.9,1,0,"['Intimidate', 'Shed Skin', 'Unnerve']"
24,Arbok,95,Cobra Pokémon,69,3.5,60,80,poison,,65.0,1,0,"['Intimidate', 'Shed Skin', 'Unnerve']"
25,Pikachu,55,Mouse Pokémon,40,0.4,35,90,electric,,6.0,1,0,"['Static', 'Lightningrod']"
26,Raichu,85,Mouse Pokémon,50,,60,110,electric,electric,,1,0,"['Static', 'Lightningrod', 'Surge Surfer']"
27,Sandshrew,75,Mouse Pokémon,90,,50,40,ground,ice,,1,0,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']"
28,Sandslash,100,Mouse Pokémon,120,,75,65,ground,ice,,1,0,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']"
29,Nidoran♀,47,Poison Pin Pokémon,52,0.4,55,41,poison,,7.0,1,0,"['Poison Point', 'Rivalry', 'Hustle']"
30,Nidorina,62,Poison Pin Pokémon,67,0.8,70,56,poison,,20.0,1,0,"['Poison Point', 'Rivalry', 'Hustle']"
31,Nidoqueen,92,Drill Pokémon,87,1.3,90,76,poison,ground,60.0,1,0,"['Poison Point', 'Rivalry', 'Sheer Force']"
32,Nidoran♂,57,Poison Pin Pokémon,40,0.5,46,50,poison,,9.0,1,0,"['Poison Point', 'Rivalry', 'Hustle']"
33,Nidorino,72,Poison Pin Pokémon,57,0.9,61,65,poison,,19.5,1,0,"['Poison Point', 'Rivalry', 'Hustle']"
34,Nidoking,102,Drill Pokémon,77,1.4,81,85,poison,ground,62.0,1,0,"['Poison Point', 'Rivalry', 'Sheer Force']"
35,Clefairy,45,Fairy Pokémon,48,0.6,70,35,fairy,,7.5,1,0,"['Cute Charm', 'Magic Guard', 'Friend Guard']"
36,Clefable,70,Fairy Pokémon,73,1.3,95,60,fairy,,40.0,1,0,"['Cute Charm', 'Magic Guard', 'Unaware']"
